	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSSSCG00000012873	2.73212880127501	1.08747957235157	0.346943542846595	3.13445687280715	0.00172172560220542	0.0395925148283303
ENSSSCG00000012887	447.351307995225	-0.235085203484048	0.0753241933940226	-3.1209787040707	0.00180251068794687	0.040700241331172
ENSSSCG00000012889	413.648857418099	0.595205436875227	0.208980892169572	2.84813329436963	0.00439765013462553	0.0725012399672385
ENSSSCG00000012890	3074.7032051781	0.550810324171361	0.18507474440522	2.97615066789105	0.00291891418008315	0.0554491515189657
ENSSSCG00000012893	2359.95613414289	0.52827954850456	0.195669454737119	2.69985700739189	0.00693692841474565	0.096359381051245
ENSSSCG00000012994	10.7521959441759	0.732287581931827	0.220297892037395	3.32407893311808	0.000887110835438364	0.0257856016528189
ENSSSCG00000013008	193.574446098736	0.57197220665495	0.123756746626297	4.62174566031627	3.80524370794662e-06	0.000804537241108714
ENSSSCG00000013023	5096.54763163811	-0.214919948912085	0.0627628330064464	-3.42431879851584	0.000616342717524535	0.0207127058291637
ENSSSCG00000013065	1510.3922423748	0.883261178442054	0.22221305800677	3.9748392212628	7.04268165139273e-05	0.00528363397625224
ENSSSCG00000013072	170.263197473876	0.453188325666252	0.140398884467041	3.22786272402783	0.0012471880978361	0.0322289241790028
ENSSSCG00000013073	1939.71602202382	-0.396368420759194	0.12432851974756	-3.18807319160552	0.0014322427811687	0.0348533818795611
ENSSSCG00000013114	1640.45723485056	0.430889198371466	0.149166620176126	2.8886435709457	0.00386907358713965	0.0665145269239536
ENSSSCG00000013181	3071.972700364	1.12761468794908	0.23585983623356	4.78086776432959	1.74540146894048e-06	0.000472087041233066
ENSSSCG00000013233	89.6302256482486	0.35901861735438	0.113863013812937	3.1530749567564	0.00161560316215498	0.0378446323451555
ENSSSCG00000013258	24.8392691304974	0.441502504735518	0.143005148639492	3.08731894575713	0.00201970764651081	0.0438868250083946
ENSSSCG00000013260	294.956286413715	0.374136306125718	0.136524525167064	2.7404329417582	0.00613583013582189	0.089520516562681
ENSSSCG00000013307	4824.63782427138	0.503723048018016	0.187926590708854	2.6804245536408	0.00735288374981504	0.0997898205394055
ENSSSCG00000013322	55.6812241786951	-0.268304120423293	0.090893449960365	-2.95185319228492	0.00315873070718965	0.0584365180830086
ENSSSCG00000013352	79.5539426825344	0.578192427086664	0.160094829788899	3.61156214631709	0.000304358126617712	0.0133452564227084
ENSSSCG00000013382	19.34049322492	0.792602276375442	0.256517454149396	3.08985709765321	0.00200252818708321	0.0437951568182182
ENSSSCG00000013404	554.267272348562	-0.247693643407791	0.0843108115017042	-2.93786335341801	0.00330482651691684	0.0604523322420295
ENSSSCG00000013408	8.94994698046976	1.16893934603997	0.289563500357813	4.03690155905531	5.41617817983792e-05	0.00443049702478533
ENSSSCG00000013427	1715.66925727488	-0.28332741126957	0.0679756362952109	-4.16807295542052	3.07185624014174e-05	0.00292455085318758
ENSSSCG00000013471	42.4414779329045	-0.274645842278362	0.0721065791945622	-3.80888741840458	0.000139593494476329	0.00823399307998059
ENSSSCG00000013509	242.745899434457	0.317905119642179	0.105621450939306	3.0098537448123	0.00261373515994057	0.0516403014609618
ENSSSCG00000013517	768.667578401514	0.665091231936811	0.151211521013054	4.39841638706481	1.0904362089416e-05	0.00143163721625559
ENSSSCG00000013556	1192.83113841349	0.853406512343	0.306102031021658	2.78798056156191	0.00530377260954459	0.0817052888156869
ENSSSCG00000013564	102.921847810979	-0.436133582345686	0.0820560431094661	-5.31506962581496	1.06616552388687e-07	7.54659770820791e-05
ENSSSCG00000013579	4.35512610503156	1.87272895745133	0.511747546172964	3.65947813810985	0.000252729401857078	0.0118914296596336
ENSSSCG00000013621	16.3748656643091	0.503388017787114	0.173030114250099	2.90925091258688	0.00362295960421326	0.0642958074763232
ENSSSCG00000013664	587.129291259234	0.423303000148243	0.151662577832345	2.7910840379898	0.00525318309493749	0.0815022092656218
ENSSSCG00000013746	6171.02635405128	0.39307551009393	0.106023376433614	3.70744191815143	0.000209363414060259	0.0106181818719658
ENSSSCG00000013767	10.6830781896846	0.739751186708916	0.246539886363967	3.00053349427127	0.00269507111411511	0.0523577061310191
ENSSSCG00000013772	238.322159797683	0.508529552764959	0.121001320880366	4.2026776985992	2.63776032592344e-05	0.00260259018824446
